time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-09 00:00:00+00:00,496,53,1854,352
2023-01-10 00:00:00+00:00,713,56,1849,381
2023-01-11 00:00:00+00:00,336,39,1783,382
2023-01-12 00:00:00+00:00,270,38,1664,363
2023-01-13 00:00:00+00:00,319,51,1135,289
2023-01-14 00:00:00+00:00,431,37,1000,161
2023-01-15 00:00:00+00:00,55,19,629,186
2023-01-16 00:00:00+00:00,367,43,1396,357
2023-01-17 00:00:00+00:00,771,75,2092,412
2023-01-18 00:00:00+00:00,292,39,1693,386
2023-01-19 00:00:00+00:00,545,46,1591,340
2023-01-20 00:00:00+00:00,459,40,1355,287
2023-01-21 00:00:00+00:00,61,17,508,128
2023-01-22 00:00:00+00:00,137,22,531,160
2023-01-23 00:00:00+00:00,1442,71,1722,313
2023-01-24 00:00:00+00:00,382,46,1152,313
2023-01-25 00:00:00+00:00,484,47,1558,353
2023-01-26 00:00:00+00:00,565,58,1707,319
2023-01-27 00:00:00+00:00,368,63,1122,289
2023-01-28 00:00:00+00:00,117,24,616,120
2023-01-29 00:00:00+00:00,304,42,632,168
2023-01-30 00:00:00+00:00,717,72,1412,394
2023-01-31 00:00:00+00:00,721,53,1624,368
2023-02-01 00:00:00+00:00,818,75,1758,352
2023-02-02 00:00:00+00:00,435,46,1522,392
2023-02-03 00:00:00+00:00,459,55,1437,325
2023-02-04 00:00:00+00:00,250,26,498,159
2023-02-05 00:00:00+00:00,373,30,531,184
2023-02-06 00:00:00+00:00,692,67,1603,372
2023-02-07 00:00:00+00:00,513,49,1960,397
2023-02-08 00:00:00+00:00,1230,107,1747,415
2023-02-09 00:00:00+00:00,772,66,2379,405
2023-02-10 00:00:00+00:00,697,56,1963,369
2023-02-11 00:00:00+00:00,263,31,863,172
2023-02-12 00:00:00+00:00,313,32,710,173
2023-02-13 00:00:00+00:00,843,97,2172,411
2023-02-14 00:00:00+00:00,870,136,1837,410
2023-02-15 00:00:00+00:00,1131,124,2167,436
2023-02-16 00:00:00+00:00,570,50,1797,430
2023-02-17 00:00:00+00:00,1160,121,1789,394
2023-02-18 00:00:00+00:00,397,49,775,186
2023-02-19 00:00:00+00:00,156,27,597,208
2023-02-20 00:00:00+00:00,531,72,2190,371
2023-02-21 00:00:00+00:00,872,106,1984,394
2023-02-22 00:00:00+00:00,972,65,2098,448
2023-02-23 00:00:00+00:00,717,75,1923,416
2023-02-24 00:00:00+00:00,1219,65,1856,376
2023-02-25 00:00:00+00:00,359,33,691,204
2023-02-26 00:00:00+00:00,247,35,744,208
2023-02-27 00:00:00+00:00,1287,72,2409,408
2023-02-28 00:00:00+00:00,1306,68,2095,461
2023-03-01 00:00:00+00:00,1274,88,2501,437
2023-03-02 00:00:00+00:00,452,55,1788,445
2023-03-03 00:00:00+00:00,344,48,1420,420
2023-03-04 00:00:00+00:00,58,20,577,174
2023-03-05 00:00:00+00:00,194,17,553,180
2023-03-06 00:00:00+00:00,916,49,2170,421
